sim_id,num_rounds,num_devices,x,y,bitlist_interval,move,uniform,broadcastType

9411477,3000,100,1320.0,1320.0,10000,False,True,simple
6829090,3000,100,1320.0,1320.0,10000,False,True,simple
2572961,3000,100,1320.0,1320.0,10000,False,True,simple
2278161,3000,100,1320.0,1320.0,10000,False,True,simple
1501528,3000,200,1320.0,1320.0,10000,False,True,simple
3126638,3000,300,1320.0,1320.0,10000,False,True,simple
3303262,3000,400,1320.0,1320.0,10000,False,True,simple
114171,3000,500,1320.0,1320.0,10000,False,True,simple
3593094,3000,100,1320.0,1320.0,10000,False,True,simple
102152,3000,200,1320.0,1320.0,10000,False,True,simple
2195899,3000,300,1320.0,1320.0,10000,False,True,simple
7667052,3000,400,1320.0,1320.0,10000,False,True,simple
7771995,3000,500,1320.0,1320.0,10000,False,True,simple
8136107,3000,100,1320.0,1320.0,10000,False,True,simple
9483585,3000,200,1320.0,1320.0,10000,False,True,simple
278818,3000,300,1320.0,1320.0,10000,False,True,simple
7530817,3000,400,1320.0,1320.0,10000,False,True,simple
3572350,3000,500,1320.0,1320.0,10000,False,True,simple
946025,3000,100,1320.0,1320.0,10000,False,True,simple
6998054,3000,200,1320.0,1320.0,10000,False,True,simple
7619725,3000,100,1320.0,1320.0,10000,False,True,simple
9574746,3000,200,1320.0,1320.0,10000,False,True,simple
5316754,3000,100,1320.0,1320.0,10000,False,True,simple
6549270,3000,200,1320.0,1320.0,10000,False,True,simple
2885777,3000,300,1320.0,1320.0,10000,False,True,simple
5620063,3000,400,1320.0,1320.0,10000,False,True,simple
9428878,3000,300,1320.0,1320.0,10000,False,True,simple
490875,3000,400,1320.0,1320.0,10000,False,True,simple
3942229,3000,300,1320.0,1320.0,10000,False,True,simple
8400185,3000,400,1320.0,1320.0,10000,False,True,simple
1434098,3000,500,1320.0,1320.0,10000,False,True,simple
5811867,3000,600,1320.0,1320.0,10000,False,True,simple
9076538,3000,500,1320.0,1320.0,10000,False,True,simple
8369144,3000,600,1320.0,1320.0,10000,False,True,simple
4788524,3000,700,1320.0,1320.0,10000,False,True,simple
5798620,3000,800,1320.0,1320.0,10000,False,True,simple
6971411,3000,900,1320.0,1320.0,10000,False,True,simple
3648191,3000,120,1320.0,1320.0,10000,False,True,simple
5890823,3000,140,1320.0,1320.0,10000,False,True,simple
985277,3000,160,1320.0,1320.0,10000,False,True,simple
6362383,3000,180,1320.0,1320.0,10000,False,True,simple
6905248,3000,120,1320.0,1320.0,10000,False,True,simple
7199568,3000,140,1320.0,1320.0,10000,False,True,simple
4827695,3000,160,1320.0,1320.0,10000,False,True,simple
