sim_id,num_rounds,num_devices,x,y,bitlist_interval,move,uniform,broadcastType
8279941,3000,2700,1320.0,1320.0,2000,False,True,smart
4038920,3000,2800,1320.0,1320.0,2000,False,True,smart
3468318,3000,1500,1320.0,1320.0,2000,False,True,smart
4650254,3000,2100,1320.0,1320.0,2000,False,True,smart
3842191,3000,2600,1320.0,1320.0,2000,False,True,smart
5491834,3000,2700,1320.0,1320.0,2000,False,True,smart
3735143,3000,200,1320.0,1320.0,2000,False,True,smart
7666889,3000,200,1320.0,1320.0,4000,False,True,smart
3733917,3000,200,1320.0,1320.0,6000,False,True,smart
6987089,3000,200,1320.0,1320.0,8000,False,True,smart
821968,3000,200,1320.0,1320.0,10000,False,True,smart
7368957,3000,200,1320.0,1320.0,12000,False,True,smart
4036875,3000,200,1320.0,1320.0,14000,False,True,smart
7179488,3000,200,1320.0,1320.0,16000,False,True,smart
2004121,3000,200,1320.0,1320.0,18000,False,True,smart
5478343,3000,200,1320.0,1320.0,20000,False,True,smart
8526220,3000,300,1320.0,1320.0,2000,False,True,smart
925462,3000,300,1320.0,1320.0,4000,False,True,smart
1157375,3000,300,1320.0,1320.0,6000,False,True,smart
9965178,3000,300,1320.0,1320.0,8000,False,True,smart
9995533,3000,300,1320.0,1320.0,10000,False,True,smart
8023660,3000,300,1320.0,1320.0,12000,False,True,smart
4922933,3000,300,1320.0,1320.0,14000,False,True,smart
8056609,3000,300,1320.0,1320.0,16000,False,True,smart
5134054,3000,300,1320.0,1320.0,18000,False,True,smart
2455396,3000,300,1320.0,1320.0,20000,False,True,smart
2822547,3000,200,1320.0,1320.0,2000,False,True,smart
4881903,3000,200,1320.0,1320.0,4000,False,True,smart
918099,3000,200,1320.0,1320.0,6000,False,True,smart
7003458,3000,200,1320.0,1320.0,8000,False,True,smart
3920795,3000,300,1320.0,1320.0,2000,False,True,smart
4918760,3000,200,1320.0,1320.0,10000,False,True,smart
4966414,3000,200,1320.0,1320.0,12000,False,True,smart
464371,3000,200,1320.0,1320.0,14000,False,True,smart
9805404,3000,200,1320.0,1320.0,16000,False,True,smart
4576430,3000,200,1320.0,1320.0,18000,False,True,smart
6265782,3000,300,1320.0,1320.0,4000,False,True,smart
5053031,3000,200,1320.0,1320.0,20000,False,True,smart
3883947,3000,300,1320.0,1320.0,6000,False,True,smart
6867415,3000,300,1320.0,1320.0,8000,False,True,smart
3080050,3000,300,1320.0,1320.0,10000,False,True,smart
5840302,3000,300,1320.0,1320.0,12000,False,True,smart
214014,3000,300,1320.0,1320.0,14000,False,True,smart
1171813,3000,300,1320.0,1320.0,16000,False,True,smart
2400129,3000,300,1320.0,1320.0,18000,False,True,smart
9241169,3000,300,1320.0,1320.0,20000,False,True,smart
494208,3000,900,1320.0,1320.0,2000,False,True,smart
9865618,3000,1500,1320.0,1320.0,2000,False,True,smart
3070145,3000,1000,1320.0,1320.0,2000,False,True,smart
4809631,3000,1600,1320.0,1320.0,2000,False,True,smart
8284039,3000,900,1320.0,1320.0,4000,False,True,smart
1311277,3000,1500,1320.0,1320.0,4000,False,True,smart
1569545,3000,1000,1320.0,1320.0,4000,False,True,smart
5252492,3000,1600,1320.0,1320.0,4000,False,True,smart
68469,3000,900,1320.0,1320.0,6000,False,True,smart
1769663,3000,1500,1320.0,1320.0,6000,False,True,smart
5532781,3000,1000,1320.0,1320.0,6000,False,True,smart
9066269,3000,1600,1320.0,1320.0,6000,False,True,smart
5007169,3000,900,1320.0,1320.0,8000,False,True,smart
650327,3000,1500,1320.0,1320.0,8000,False,True,smart
1861697,3000,1000,1320.0,1320.0,8000,False,True,smart
4042218,3000,1600,1320.0,1320.0,8000,False,True,smart
8337363,3000,900,1320.0,1320.0,10000,False,True,smart
4999566,3000,1500,1320.0,1320.0,10000,False,True,smart
7221322,3000,1000,1320.0,1320.0,10000,False,True,smart
2333115,3000,900,1320.0,1320.0,12000,False,True,smart
1065289,3000,1600,1320.0,1320.0,10000,False,True,smart
6228216,3000,1000,1320.0,1320.0,12000,False,True,smart
6699748,3000,1500,1320.0,1320.0,12000,False,True,smart
2321073,3000,900,1320.0,1320.0,14000,False,True,smart
1021559,3000,1600,1320.0,1320.0,12000,False,True,smart
6137239,3000,1000,1320.0,1320.0,14000,False,True,smart
827723,3000,1500,1320.0,1320.0,14000,False,True,smart
5049158,3000,900,1320.0,1320.0,16000,False,True,smart
4921764,3000,1600,1320.0,1320.0,14000,False,True,smart
9303544,3000,1000,1320.0,1320.0,16000,False,True,smart
4282112,3000,1500,1320.0,1320.0,16000,False,True,smart
5057432,3000,900,1320.0,1320.0,18000,False,True,smart
5101801,3000,1000,1320.0,1320.0,18000,False,True,smart
4417522,3000,1600,1320.0,1320.0,16000,False,True,smart
2297032,3000,900,1320.0,1320.0,20000,False,True,smart
9206168,3000,1500,1320.0,1320.0,18000,False,True,smart
7146212,3000,1000,1320.0,1320.0,20000,False,True,smart
9645382,3000,1600,1320.0,1320.0,18000,False,True,smart
5008514,3000,1500,1320.0,1320.0,20000,False,True,smart
7353148,3000,1600,1320.0,1320.0,20000,False,True,smart
944923,3000,1600,1320.0,1320.0,2000,False,True,smart
2924675,3000,1600,1320.0,1320.0,4000,False,True,smart
25921,3000,1600,1320.0,1320.0,6000,False,True,smart
8287548,3000,1600,1320.0,1320.0,8000,False,True,smart
4815377,3000,1600,1320.0,1320.0,10000,False,True,smart
9290758,3000,1600,1320.0,1320.0,12000,False,True,smart
6317619,3000,1600,1320.0,1320.0,14000,False,True,smart
1659659,3000,1600,1320.0,1320.0,16000,False,True,smart
8179891,3000,1600,1320.0,1320.0,18000,False,True,smart
1726600,3000,1600,1320.0,1320.0,20000,False,True,smart
